word,pole
TRUE,2
ability,2
able,1
absolve,1
accede,0
accept,1
acceptable,2
acceptance,0
accessible,2
acclaim,2
acclamation,2
accolade,2
accommodate,2
accommodation,2
accord,1
accuracy,2
accurate,2
achieve,0
acquit,1
acquittal,2
adaptability,1
adaptive,1
adept,2
adeptness,2
adjust,1
adjustable,1
adjustment,2
admirable,2
admiration,2
admire,2
admit,1
adorable,2
adore,1
adroit,1
advance,1
advantage,2
advantageous,2
advent,1
adventuresome,1
adventurous,1
advisable,2
affability,1
affable,2
affection,1
affectionate,2
affirmative,2
affluence,1
afloat,1
aggregate,1
agreeable,2
alive,1
alleviate,1
allure,1
almighty,1
altruistic,2
amazing,2
ameliorate,1
amenable,2
amenity,2
amiability,2
amiable,2
amicable,2
amour,1
amuse,2
angelic,2
appease,2
applause,1
appreciate,0
appreciation,2
apprehend,1
appropriate,1
apt,1
aptitude,1
ardent,0
aristocracy,1
aspire,1
assertion,1
asset,2
assist,2
assistance,2
astute,2
attain,0
attentive,1
attractive,2
attractiveness,1
audible,1
auspicious,2
authentic,2
authenticity,1
availability,1
avid,1
award,1
aware,2
awareness,2
back,1
backing,1
beauteous,1
beautify,1
beauty,2
befit,1
befitting,1
beloved,2
beneficent,2
beneficial,2
beneficiary,1
benefit,1
benevolence,2
benevolent,2
best,2
better,2
blameless,1
bliss,2
boldness,1
bonny,2
bonus,1
bountiful,2
brainy,2
brave,1
bright,1
brilliant,2
buy,2
call,1
calm,1
calmness,1
candid,1
candor,1
capability,2
capable,1
capitalize,1
captivation,1
care,1
carefree,1
careful,2
caress,2
ceremonial,1
charisma,1
charitable,1
charity,2
charm,2
chaste,2
cheer,1
cheerful,2
cheery,2
chic,2
chivalrous,0
chivalry,2
chum,1
civil,1
civility,1
civilize,1
clarify,1
clarity,1
classic,2
clean,1
cleanliness,1
clear,2
clearness,1
clever,2
closeness,1
coax,1
cognizance,2
cognizant,2
coherent,1
colossal,0
comely,2
comestible,1
comfort,2
comic,2
comical,2
commemoration,1
commencement,1
commendable,2
commendation,1
commitment,2
commonsense,2
compassionate,2
compatible,2
competence,1
competency,1
competent,2
completeness,1
compliance,2
compliment,1
composure,1
comprehend,1
comprehension,1
conducive,0
confidant,1
confident,1
congenial,2
congratulate,1
congratulatory,1
conjure,1
conscience,1
consent,1
consider,1
considerate,1
consideration,1
consistent,1
console,2
constancy,2
constructive,2
consultation,1
consummate,2
contact,1
content,1
contentment,1
contribute,1
convince,1
coordination,2
cordial,2
correct,2
courageous,1
courteous,2
courtesy,2
courtly,1
cozy,1
creativity,1
credentials,1
credibility,0
credible,2
credit,1
cuddle,1
cultivate,1
cultivation,1
cure,1
curtsey,1
cute,2
daring,1
darling,2
dauntless,1
dawn,1
dear,2
decency,2
decent,2
decorative,1
dedicate,1
dedication,2
deference,2
definitive,1
delicacy,2
delicate,1
delight,2
delightful,2
dependability,2
dependable,1
deserve,2
desirable,2
desirous,1
devote,1
devotion,1
devout,2
dignified,2
dignify,2
dignity,2
diligent,2
discern,2
discreet,2
distinct,1
distinguished,1
divine,1
donate,2
dote,1
dreamland,1
durability,1
dynamic,2
eager,1
eagerness,0
earnest,1
earnestness,2
easy,1
ecstasy,1
edible,1
educated,1
education,1
effective,1
effectiveness,1
efficacy,1
efficient,0
elaborate,2
elate,2
elegance,2
elegant,2
eloquent,1
embellish,1
embrace,1
eminence,2
eminent,1
enable,1
enchant,1
enchantment,1
encourage,1
endear,1
endorse,1
endurance,1
energetic,1
energize,2
enhancement,1
enjoy,1
enjoyable,1
enjoyment,2
enrich,1
entertain,1
enthusiastic,2
entrust,1
equitable,2
essential,1
esteem,2
etiquette,2
even,1
everlasting,1
exalt,2
excellence,2
excellent,2
excitement,0
exhilaration,0
expert,2
exquisite,1
extol,2
extraordinary,2
extravagance,2
exuberance,2
exuberant,1
exult,0
eye,1
fabulous,2
facilitate,1
factual,2
fair,2
fairness,2
faithful,2
faithfulness,1
fame,0
familiar,1
familiarize,1
famous,1
fantastic,1
fascination,1
favor,1
favorable,2
favorite,1
fearless,1
feasible,1
fertile,2
fervent,0
fervor,1
festive,0
festivity,1
fiery,0
fine,1
firmness,1
fit,2
fitness,2
flair,1
flatter,2
flattery,1
flexible,1
flourish,1
fond,2
foremost,2
foresight,0
forgave,1
forgive,1
forgiven,1
forgiveness,1
formality,1
fortitude,0
fortunate,2
foster,1
fragrant,2
frank,1
free,1
friend,1
friendly,1
friendship,1
frolic,1
fruitful,2
fulfillment,1
fullness,2
funny,2
gaiety,2
gallant,1
gallantry,2
gay,2
